代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"MRVL","Marvell Technology Inc","308.8800","4","86.12","7.49","美國","美元","287.350","4","1,149.4","1,235.52","-2.66"
"QQQ","Invesco QQQ Trust Series 1","744.0000","1.1971","89.84","11.22","美國","美元","668.950","1.1971","800.8","890.64","-"
"TSLA","Tesla Inc","411.1500","1","7.33","1.82","美國","美元","403.820","1","403.82","411.15","0.64"
"TSLA","Tesla Inc","411.1500","2.25416","25.90","2.87","美國","美元","399.661","2.25416","900.9","926.80","-"
