代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","722.8200","1","-0.18","-0.02","美國","美元","723.000","1","723","722.82","-1.43"
"QQQ","Invesco QQQ Trust Series 1","722.8200","1.61157","63.88","5.80","美國","美元","683.185","1.61157","1,101","1,164.88","-"
"TSLA","Tesla Inc","419.7700","2","50.52","6.40","美國","美元","394.510","2","789.02","839.54","-0.26"
"TSLA","Tesla Inc","419.7700","2.90565","68.60","5.96","美國","美元","396.159","2.90565","1,151.1","1,219.70","-"
