代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","719.7100","1","-3.29","-0.46","美國","美元","723.000","1","723","719.71","-2.27"
"QQQ","Invesco QQQ Trust Series 1","719.7100","1.4726","58.94","5.89","美國","美元","679.682","1.4726","1,000.9","1,059.84","-"
"TSLA","Tesla Inc","401.7700","2","14.52","1.84","美國","美元","394.510","2","789.02","803.54","-3.75"
"TSLA","Tesla Inc","401.7700","2.65376","15.20","1.45","美國","美元","396.042","2.65376","1,051","1,066.20","-"
