代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","710.7200","1","-12.28","-1.70","美國","美元","723.000","1","723","710.72","-2.30"
"QQQ","Invesco QQQ Trust Series 1","710.7200","2.30903","39.57","2.47","美國","美元","693.581","2.30903","1,601.5","1,641.07","-"
"TSLA","Tesla Inc","350.2500","3","-62.53","-5.62","美國","美元","371.093","3","1,113.28","1,050.75","-5.96"
"TSLA","Tesla Inc","350.2500","4.04474","-134.83","-8.69","美國","美元","383.585","4.04474","1,551.5","1,416.67","-"
