代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","717.7400","1","-5.26","-0.73","美國","美元","723.000","1","723","717.74","-0.45"
"QQQ","Invesco QQQ Trust Series 1","717.7400","1.74966","54.70","4.55","美國","美元","686.476","1.74966","1,201.1","1,255.80","-"
"TSLA","Tesla Inc","394.4600","2","-0.10","-0.01","美國","美元","394.510","2","789.02","788.92","0.42"
"TSLA","Tesla Inc","394.4600","3.15598","-6.29","-0.50","美國","美元","396.454","3.15598","1,251.2","1,244.91","-"
