代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","740.6200","1.1971","85.80","10.71","美國","美元","668.950","1.1971","800.8","886.60","-"
"TSLA","Tesla Inc","400.4900","1","-3.33","-0.82","美國","美元","403.820","1","403.82","400.49","-0.82"
"TSLA","Tesla Inc","400.4900","2.25416","1.87","0.21","美國","美元","399.661","2.25416","900.9","902.77","-"
