代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"MRVL","Marvell Technology Inc","288.8500","3","-22.83","-2.57","美國","美元","296.460","3","889.38","866.55","-11.12"
"QQQ","Invesco QQQ Trust Series 1","716.0700","1.06163","59.50","8.49","美國","美元","660.023","1.06163","700.7","760.20","-"
"TSLA","Tesla Inc","408.9500","1","5.13","1.27","美國","美元","403.820","1","403.82","408.95","0.00"
"TSLA","Tesla Inc","408.9500","2.01145","21.78","2.72","美國","美元","398.121","2.01145","800.8","822.58","-"
