代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","729.8700","1","6.87","0.95","美國","美元","723.000","1","723","729.87","1.11"
"QQQ","Invesco QQQ Trust Series 1","729.8700","2.16843","81.27","5.41","美國","美元","692.390","2.16843","1,501.4","1,582.67","-"
"TSLA","Tesla Inc","339.3000","3","-95.38","-8.57","美國","美元","371.093","3","1,113.28","1,017.90","-7.76"
"TSLA","Tesla Inc","339.3000","3.75869","-176.08","-12.13","美國","美元","386.145","3.75869","1,451.4","1,275.32","-"
