代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","717.3000","1","-5.70","-0.79","美國","美元","723.000","1","723","717.30","0.11"
"QQQ","Invesco QQQ Trust Series 1","717.3000","2.03197","56.23","4.01","美國","美元","689.626","2.03197","1,401.3","1,457.53","-"
"TSLA","Tesla Inc","321.5500","3","-148.63","-13.35","美國","美元","371.093","3","1,113.28","964.65","-11.78"
"TSLA","Tesla Inc","321.5500","3.46521","-237.06","-17.54","美國","美元","389.962","3.46521","1,351.3","1,114.24","-"
