代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","704.5400","1","-18.46","-2.55","美國","美元","723.000","1","723","704.54","-1.91"
"QQQ","Invesco QQQ Trust Series 1","704.5400","2.58888","22.27","1.24","美國","美元","695.938","2.58888","1,801.7","1,823.97","-"
"SPCX","Space Exploration Technologies","143.4900","0.67087","-3.84","-3.83","美國","美元","149.209","0.67087","100.1","96.26","-"
"TSLA","Tesla Inc","356.5800","3","-43.54","-3.91","美國","美元","371.093","3","1,113.28","1,069.74","-3.26"
"TSLA","Tesla Inc","356.5800","4.60382","-110.07","-6.28","美國","美元","380.488","4.60382","1,751.7","1,641.63","-"
