代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"AVGO","Broadcom Inc","380.1500","1","-20.17","-5.04","美國","美元","400.320","1","400.32","380.15","-2.04"
"QQQ","Invesco QQQ Trust Series 1","713.6500","1","-9.35","-1.29","美國","美元","723.000","1","723","713.65","0.00"
"QQQ","Invesco QQQ Trust Series 1","713.6500","1.1971","53.51","6.68","美國","美元","668.950","1.1971","800.8","854.31","-"
"TSLA","Tesla Inc","381.6100","2","-25.80","-3.27","美國","美元","394.510","2","789.02","763.22","0.30"
"TSLA","Tesla Inc","381.6100","2.25416","-40.69","-4.52","美國","美元","399.661","2.25416","900.9","860.21","-"
