代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","718.3600","1","-4.64","-0.64","美國","美元","723.000","1","723","718.36","-0.55"
"QQQ","Invesco QQQ Trust Series 1","718.3600","2.44777","56.78","3.34","美國","美元","695.163","2.44777","1,701.6","1,758.38","-"
"SPCX","Space Exploration Technologies","153.4700","0.67087","2.86","2.86","美國","美元","149.209","0.67087","100.1","102.96","-"
"TSLA","Tesla Inc","368.1600","3","-8.80","-0.79","美國","美元","371.093","3","1,113.28","1,104.48","-4.58"
"TSLA","Tesla Inc","368.1600","4.32457","-59.47","-3.60","美國","美元","381.911","4.32457","1,651.6","1,592.13","-"
