代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
QQQ,Invesco QQQ Trust Series 1,682.12,1,-40.88,-5.65,美國,美元,723,1,723,682.12,-5.65
QQQ,Invesco QQQ Trust Series 1,682.12,1.89429,-9.07,-0.7,美國,美元,686.906,1.89429,"1,301.20","1,292.13",-
TSLA,Tesla Inc,309.22,3,-185.62,-16.67,美國,美元,371.093,3,"1,113.28",927.66,-16.67
TSLA,Tesla Inc,309.22,3.15598,-275.31,-22,美國,美元,396.454,3.15598,"1,251.20",975.89,-
,,,,,,,,,,4388.68,3877.8,
