代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"AVGO","Broadcom Inc","378.9100","1","-21.41","-5.35","美國","美元","400.320","1","400.32","378.91","-4.55"
"QQQ","Invesco QQQ Trust Series 1","716.3800","1","-6.62","-0.92","美國","美元","723.000","1","723","716.38","-1.71"
"QQQ","Invesco QQQ Trust Series 1","716.3800","1.4726","54.04","5.40","美國","美元","679.682","1.4726","1,000.9","1,054.94","-"
"TSLA","Tesla Inc","375.1200","2","-38.78","-4.91","美國","美元","394.510","2","789.02","750.24","-4.81"
"TSLA","Tesla Inc","375.1200","2.65376","-55.52","-5.28","美國","美元","396.042","2.65376","1,051","995.48","-"
