代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"QQQ","Invesco QQQ Trust Series 1","738.3100","0.92464","82.07","13.66","美國","美元","649.550","0.92464","600.6","682.67","-"
"TSLA","Tesla Inc","435.7900","1.77387","72.33","10.32","美國","美元","395.012","1.77387","700.7","773.03","-"
