代號,股票名稱,最新價,目前庫存,投資損益,報酬率,市場,幣別,均價,可用庫存,庫存成本,現值,含息報酬率
"MRVL","Marvell Technology Inc","263.4700","3","-98.97","-11.13","美國","美元","296.460","3","889.38","790.41","-11.12"
"QQQ","Invesco QQQ Trust Series 1","705.0600","1.06163","47.81","6.82","美國","美元","660.023","1.06163","700.7","748.51","-"
"TSLA","Tesla Inc","391.0000","2.01145","-14.32","-1.79","美國","美元","398.121","2.01145","800.8","786.48","-"
